These questions are asked in the wave 1 of the survey,,,,,,,,resp_id,weight,empl_pre_harm,jobcat_pre_harm,worker_now,student,wfh_pre,wfh_pre_freq,bzvm_pre,workload,wfh_now,wfh_now_days,bzvm_now,prod_change,prod_decr_reason_1,prod_decr_reason_4,prod_decr_reason_5,prod_decr_reason_6,prod_decr_reason_7,prod_decr_reason_9,prod_incr_reason_1,prod_incr_reason_2,prod_incr_reason_3,prod_incr_reason_9_w1b,prod_incr_reason_12_w1b,hhveh_harm,age,gender,bedrooms,hispanic,White/Caucasian,Black/African American,Asian,educ,hhsize,hhincome,income_change,The next questions are asked in the wave 2 of the survey from the same people,,,,,,,,,,,,,wfh_now,wfh_now_days,prod_change,wfh_expect,wfh_freq_exp_w1b,bzvm_exp,enjoy_change_mc_4,enjoy_change_mc_6,enjoy_change_mc_10,enjoy_change_mc_11,enjoy_change_mc_12,enjoy_change_mc_13,negative_impact_4,negative_impact_5,negative_impact_11,
,,,,,,,,2580,3.528429263,Employed full time,Something else,yes,No,Yes,Every day,Never,"No, it has stayed about the same",Yes,5,0,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,49,Male,3,No,White/Caucasian,Not selected,Not selected,Some grade/high school,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Yes,7,About the same,Yes,Every day,Never,Not selected,Not selected,Spending more time with family,Not selected,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2581,2.478929536,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,61,Female,5,No,White/Caucasian,Not selected,Not selected,Completed high school or GED,2,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Taking more walks,Not selected,Cooking at home more often,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2582,0.260508104,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,A few times/year,"Yes, it has somewhat increased",Yes,5,4,Decreased somewhat,Not selected,Not selected,Not selected,Not selected,Not selected,There are too many concerns on my mind to be able to focus fully on work,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,35,Female,2,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),1,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Yes,6,Somewhat lower,Yes,A few times/week,A few times/week,Commuting less,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,"Feeling nervous, anxious, or sad",
,,,,,,,,2585,1.172626571,Employed full time,"Manufacturing, construction, maintenance, or farming (does not includes maintenance and farming for those who answered jobcat_pre_w2)",yes,"Yes, Part-time",Yes,Every day,A few times/week,"Yes, it has somewhat decreased",Yes,6,3,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,More comfortable workspace at home,Not selected,Not selected,Flexible hours,2,35,Male,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),4,"$150,000 to $199,999",It has stayed about the same,,,,,,,,,,,,,,Yes,6,Significantly higher,Yes,Every day,Every day,Not selected,Not selected,Not selected,Cooking at home more often,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2587,0.299495147,Employed part time,Sales or service,yes,No,No,Question not displayed to respondent,Never,"Yes, it has somewhat decreased",No,,0,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,67,Male,1,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$35,000 to $49,999",It has gone down somewhat,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,A few times/year,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Restricted socialization,Not selected,Not selected,
,,,,,,,,2589,2.279885566,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,4 or more,25,Male,8,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,6,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Restricted socialization,Not selected,Not selected,
,,,,,,,,2591,0.335783149,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,70,Female,3,No,Not selected,Black/African American,Not selected,Some college or technical school,1,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Spending more time with family,Not selected,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2592,4.980766331,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,4 or more,63,Female,3,No,White/Caucasian,Not selected,Not selected,Completed high school or GED,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2593,0.125798451,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,64,Male,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,5,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Spending more time with family,Not selected,Spending less money,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2594,0.543515297,Employed full time,Sales or service,yes,"Yes, Part-time",No,Question not displayed to respondent,A few times/year,"Yes, it has somewhat decreased",Yes,4,3,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,More comfortable workspace at home,No commuting time,More opportunity to multitask,Not selected,2,50,Male,4,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,4,"$75,000 to $99,999",It has gone up somewhat,,,,,,,,,,,,,,Yes,5,Significantly higher,Yes,A few times/week,A few times/week,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2595,1.116888739,Employed part time,"Professional, managerial, or technical",no,No,No,Question not displayed to respondent,Never,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,3,56,Female,3,Yes,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),5,"$50,000 to $74,999",It has gone down somewhat,,,,,,,,,,,,,,No,,Somewhat lower,Yes,Once/week,A few times/month,Not selected,Not selected,Spending more time with family,Not selected,Spending less money,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2596,0.881311428,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,73,Male,3,No,Not selected,Black/African American,Not selected,Some college or technical school,3,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Not selected,Not selected,Spending less money,Not selected,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2598,1.947470275,Employed part time,"Professional, managerial, or technical",no,"Yes, Full-time",No,Question not displayed to respondent,A few times/year,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,20,Female,5,No,Not selected,Not selected,Asian,Some college or technical school,3,"$200,000 or more",It has gone down somewhat,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,No,Question not displayed to respondent,A few times/year,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2599,1.631843069,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,0,45,Female,1,No,Not selected,Black/African American,Not selected,Completed high school or GED,2,"Less than $10,000",It has gone down somewhat,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Spending more time with family,Not selected,Spending less money,Not selected,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2605,4.199272686,Employed full time,Something else,yes,No,Yes,Never,Never,"No, it has stayed about the same",No,,0,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,29,Female,1,Yes,Not selected,Not selected,Not selected,Some college or technical school,2,"$50,000 to $74,999",It has gone up a lot,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,Never,Not selected,Not selected,Not selected,Not selected,Not selected,A slower pace of life,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2606,0.598178121,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,0,66,Female,1,No,White/Caucasian,Not selected,Not selected,Completed high school or GED,1,"$10,000 to $14,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Not selected,Cooking at home more often,Not selected,Not selected,Not selected,Not selected,Not selected,
,,,,,,,,2607,0.619697131,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,63,Female,3,No,White/Caucasian,Not selected,Not selected,Some college or technical school,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2613,0.154779333,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,67,Female,2,No,White/Caucasian,Not selected,Not selected,Some college or technical school,1,"$25,000 to $34,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Taking more walks,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2615,0.084808052,Employed full time,Clerical or administrative support,no,No,No,Question not displayed to respondent,A few times/year,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,50,Female,4,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,5,"$75,000 to $99,999",It has gone down somewhat,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,Never,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2616,0.482966394,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,3,70,Female,3,No,White/Caucasian,Not selected,Not selected,Some college or technical school,3,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Spending more time with family,Not selected,Not selected,A slower pace of life,Restricted socialization,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2620,0.263118198,Employed full time,Clerical or administrative support,yes,No,No,Question not displayed to respondent,Never,"Yes, it has substantially decreased",Yes,2,0,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,55,Female,4,No,White/Caucasian,Not selected,Not selected,Some college or technical school,3,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,Never,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Restricted socialization,Not selected,Not selected,
,,,,,,,,2624,4.122442519,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,74,Female,3,No,White/Caucasian,Not selected,Not selected,Completed high school or GED,3,"$125,000 to $149,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Taking more walks,Spending more time with family,Cooking at home more often,Not selected,Not selected,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2627,0.255095123,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,87,Female,2,No,White/Caucasian,Not selected,Not selected,Some college or technical school,2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Not selected,Cooking at home more often,Spending less money,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2628,1.402026767,Employed full time,"Professional, managerial, or technical",yes,No,No,Question not displayed to respondent,Never,"No, it has stayed about the same",No,,0,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,60,Male,5,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,6,"$100,000 to $124,999",It has stayed about the same,,,,,,,,,,,,,,No,,About the same,No,Question not displayed to respondent,Never,Not selected,Taking more walks,Spending more time with family,Not selected,Not selected,Not selected,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2629,0.174442622,Employed full time,Sales or service,yes,No,Yes,Every day,A few times/week,"No, it has stayed about the same",Yes,7,3,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,44,Female,2,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$125,000 to $149,999",It has stayed about the same,,,,,,,,,,,,,,Yes,7,About the same,Yes,Every day,A few times/week,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,
,,,,,,,,2630,7.438035492,Employed full time,"Professional, managerial, or technical",yes,No,Yes,Once/week,A few times/month,"No, it has stayed about the same",Yes,5,1,Increased somewhat,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,More comfortable workspace at home,No commuting time,Not selected,Not selected,3,44,Male,3,Yes,Not selected,Not selected,Not selected,Bachelor's degree(s) or some graduate school,5,"$100,000 to $124,999",It has gone down somewhat,,,,,,,,,,,,,,Yes,5,About the same,Yes,A few times/week,A few times/week,Not selected,Not selected,Spending more time with family,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2636,0.09901317,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,69,Female,2,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),1,"$25,000 to $34,999",It has gone up a lot,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Restricted socialization,Not selected,Not selected,
,,,,,,,,2637,0.136384107,Employed full time,"Professional, managerial, or technical",yes,No,Yes,Every day,A few times/year,"No, it has stayed about the same",Yes,7,1,About the same,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,74,Female,4,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$75,000 to $99,999",It has gone down somewhat,,,,,,,,,,,,,,Yes,7,Significantly lower,Yes,Every day,Every day,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Restricted socialization,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2639,0.121792382,Employed full time,Clerical or administrative support,yes,No,No,Question not displayed to respondent,A few times/month,"Yes, it has somewhat increased",Yes,5,3,Decreased somewhat,Not selected,More distractions at home,Difficult to communicate with co-workers,Not selected,Lack of comfortable workspace,Not selected,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,30,Female,4,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,1,"$35,000 to $49,999",It has stayed about the same,,,,,,,,,,,,,,Yes,3,About the same,Yes,A few times/week,A few times/month,Not selected,Not selected,Spending more time with family,Not selected,Spending less money,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2640,0.122206198,Not employed,Question not displayed to respondent,yes,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Yes,2,0,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,0,39,Female,1,Yes,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,3,"Less than $10,000",It has gone down a lot,,,,,,,,,,,,,,Yes,7,Question not displayed to respondent,Yes,Every day,A few times/year,Not selected,Taking more walks,Not selected,Not selected,Spending less money,Not selected,Not selected,Not selected,Not selected,
,,,,,,,,2642,2.211169497,Employed full time,Something else,yes,No,Yes,Every day,Never,"Yes, it has substantially decreased",Yes,6,0,In some ways it has increased and in other ways it has decreased,Not selected,More distractions at home,Not selected,Not selected,Not selected,Not selected,Not selected,More comfortable workspace at home,Not selected,Not selected,Flexible hours,4 or more,56,Female,2,No,White/Caucasian,Not selected,Not selected,Some college or technical school,2,"$50,000 to $74,999",It has gone down a lot,,,,,,,,,,,,,,Yes,7,In some ways it is higher and in other ways it is lower,Yes,Every day,Never,Not selected,Not selected,Not selected,Cooking at home more often,Spending less money,Not selected,Not selected,Not selected,"Feeling nervous, anxious, or sad",
,,,,,,,,2643,0.227810743,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,1,70,Male,3,No,White/Caucasian,Not selected,Not selected,Bachelor's degree(s) or some graduate school,2,"$50,000 to $74,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Not selected,Spending more time with family,Not selected,Not selected,A slower pace of life,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2644,0.15937809,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,70,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),2,"$75,000 to $99,999",It has stayed about the same,,,,,,,,,,,,,,Question not displayed to respondent,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Not selected,Taking more walks,Spending more time with family,Not selected,Not selected,Not selected,Not selected,Travel restrictions and cancelled vacations,Not selected,
,,,,,,,,2648,0.077045272,Not employed,Question not displayed to respondent,no,No,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,,,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,Question not displayed to respondent,2,38,Female,4,No,White/Caucasian,Not selected,Not selected,Completed graduate degree(s),5,"$50,000 to $74,999",It has gone down a lot,,,,,,,,,,,,,,No,,Question not displayed to respondent,Yes,A few times/month,A few times/year,Not selected,Taking more walks,Spending more time with family,Not selected,Not selected,A slower pace of life,Not selected,Travel restrictions and cancelled vacations,Not selected,
